Date,P-1 TMF T/hr,P-2 TMF T/hr,P-3 TMF T/hr,I-1 TMF T/hr,I-2 TMF T/hr,Total_prod_tph,Total_inj_tph
2000-06-25,,324.5423288273807,521.3226348333332,150.56396353160707,602.2558541264283,845.8649636607139,752.8198176580354
2000-07-02,,319.00173184523754,519.8559452142852,149.31666651659503,597.2666660663801,838.8576770595228,746.5833325829752
2000-07-09,,317.75088150595195,529.0795744702378,150.7358211637618,602.9432846550473,846.8304559761899,753.679105818809
2000-07-16,,321.02769876785686,537.8797775238093,152.88553077991656,611.5421231196663,858.9074762916662,764.4276538995829
2000-07-23,,327.78264666071397,546.0714813452377,155.54603478505942,622.1841391402377,873.8541280059517,777.7301739252971
2000-07-30,,327.0349421547614,541.4918773511902,154.5977738720594,618.3910954882376,868.5268195059516,772.988869360297
2000-08-06,,318.453640958333,279.58560922023787,106.45098653178562,425.80394612714247,598.0392501785709,532.254932658928
2000-08-13,,314.24862214285685,365.75231952380943,121.04016761666661,484.16067046666643,680.0009416666662,605.200838083333
2000-08-20,,289.40919264880915,574.7013864999997,153.811683088488,615.246732353952,864.1105791488088,769.0584154424399
2000-08-27,,289.36783161904754,406.31070883928527,123.83078020158325,495.323120806333,695.6785404583328,619.1539010079161
2000-09-03,,303.8767311428567,448.08010896428533,133.84831753907127,535.3932701562851,751.956840107142,669.2415876953564
2000-09-10,,313.86554016071386,450.24316922619,136.0113502708689,544.0454010834756,764.1087093869038,680.0567513543444
2000-09-17,,311.1317829345233,467.1809229285713,138.53966164363084,554.1586465745233,778.3127058630946,692.6983082181542
2000-09-24,,310.72869061904714,47.802302220238,63.81851672539276,255.27406690157105,358.53099283928515,319.0925836269638
2000-10-01,,303.4338918333327,247.67283588690458,98.09699753420225,392.387990136809,551.1067277202372,490.48498767101125
2000-10-08,,296.69961007142825,615.2271549940473,162.32296418165467,649.2918567266187,911.9267650654756,811.6148209082733
2000-10-15,,292.4397233749997,595.7316250119045,158.09450001286896,632.3780000514759,888.1713483869041,790.4725000643448
2000-10-22,,289.36848159523754,643.9660380833328,166.13354450278555,664.5341780111422,933.3345196785704,830.6677225139277
2000-10-29,,289.4741580773806,625.6266290297616,162.88794010507132,651.5517604202853,915.1007871071422,814.4397005253566
2000-11-05,,291.86494855357114,595.6271292797618,157.97358985433328,631.8943594173331,887.4920778333328,789.8679492716664
2000-11-12,,289.4963630892856,597.155770458333,157.8240797714761,631.2963190859044,886.6521335476185,789.1203988573806
2000-11-19,,288.211984755952,602.5199460595234,158.55028368515465,634.2011347406186,890.7319308154755,792.7514184257732
2000-11-26,,288.6079705595234,566.7136143869044,152.24724212046416,608.9889684818567,855.3215849464278,761.2362106023209
2000-12-03,,286.17688269047574,639.0869494761902,164.69696212566654,658.7878485026662,925.2638321666658,823.4848106283326
2000-12-10,,286.19179369642814,626.184847630952,162.40304215627367,649.6121686250947,912.3766413273801,812.0152107813684
2000-12-17,,288.35440095238056,599.0851514226188,157.9642403227499,631.8569612909996,887.4395523749993,789.8212016137495
2000-12-24,,287.90514345238057,600.9505220297617,158.21630845582132,632.8652338232853,888.8556654821423,791.0815422791067
2000-12-31,,286.2788845535709,627.7218201607141,162.69212543914273,650.7685017565709,914.000704714285,813.4606271957138
2001-01-07,,263.94004302380927,608.5461059999997,155.30253452623802,621.2101381049521,872.4861490238089,776.5126726311901
2001-01-14,,242.9617420297613,600.2643208452376,150.09423919174984,600.3769567669993,843.226062874999,750.4711959587491
2001-01-21,,249.29176999999942,562.8342950297613,144.5584395752974,578.2337583011896,812.1260650297608,722.7921978764871
2001-01-28,,248.58857674404712,537.1260388154758,139.8572015695951,559.4288062783804,785.7146155595229,699.2860078479755
2001-02-04,,245.20553419047587,595.9073289523805,149.71808963942843,598.8723585577137,841.1128631428563,748.5904481971421
2001-02-11,,232.50997570833286,563.4233807976187,141.6761374580594,566.7045498322376,795.9333565059516,708.380687290297
2001-02-18,,229.62715460714273,612.7320507202377,149.93993854827372,599.7597541930949,842.3592053273804,749.6996927413686
2001-02-25,,227.5231542678567,603.4590461249996,147.91483166992842,591.6593266797137,830.9822003928563,739.5741583496422
2001-03-04,,230.45900339285657,348.6671086071427,103.08444793599986,412.33779174399945,579.1261119999992,515.4222396799994
2001-03-11,,226.79213545833287,610.4305438333331,149.02563691391657,596.1025476556663,837.222679291666,745.1281845695829
2001-03-18,,228.95589245833284,620.3497726309521,151.1764083858927,604.7056335435708,849.3056650892848,755.8820419294635
2001-03-25,,226.26610728571373,617.6997623749995,150.22592479960696,600.9036991984278,843.9658696607132,751.1296239980348
2001-04-01,,225.96276325595184,620.2663306369043,150.62877871292838,602.5151148517135,846.2290938928561,753.143893564642
2001-04-08,,226.60341710119013,613.952964303571,149.6190358900475,598.47614356019,840.5563814047612,748.0951794502374
2001-04-15,,222.18989436309485,616.6358918869045,149.3109899524999,597.2439598099996,838.8257862499993,746.5549497624995
2001-04-22,,199.00802149404743,541.1563315595234,131.74925484353562,526.9970193741425,740.164353053571,658.746274217678
2001-04-29,,184.53334034523772,523.6131324523807,126.05007215797609,504.20028863190436,708.1464727976183,630.2503607898805
2001-05-06,,175.09954898809488,470.65346706547587,114.9440368575356,459.7761474301424,645.7530160535707,574.7201842876779
2001-05-13,,163.0213832499996,493.3625059702379,116.83633228120227,467.3453291248091,656.3838892202374,584.1816614060114
2001-05-20,,157.76395547023756,538.3631466964282,123.91062418566652,495.6424967426661,696.1271021666658,619.5531209283326
2001-05-27,,150.55796726190442,535.2257113154758,122.0694947867737,488.2779791470948,685.7836785773803,610.3474739338684
2001-06-03,,148.45594492261873,531.3883094821425,121.01227728404751,484.04910913619005,679.8442544047613,605.0613864202376
2001-06-10,,157.95777958333287,532.3749246369043,122.87922135120222,491.5168854048089,690.3327042202371,614.3961067560111
2001-06-17,,154.15285526785672,532.3650233869046,122.20018240054752,488.8007296021901,686.5178786547613,611.0009120027377
2001-06-24,,140.52355862499957,523.1595431249996,118.13559211149985,472.5423684459994,663.6831017499991,590.6779605574992
2001-07-01,,135.84165824404744,514.3772086845235,115.73895831328561,462.95583325314243,650.2188669285708,578.6947915664281
